Date,Time,Weight
2020-12-16,11:58,97.2
2020-12-16,11:58,97.5
2020-12-16,11:58,97.3
2020-12-16,11:57,97.4
2020-12-04,06:33,97.3
2020-12-04,06:33,96.9
2020-12-04,06:32,97
2020-12-04,06:32,96.5
2020-11-30,07:05,97.5
2020-11-30,07:05,97.1
2020-11-30,07:04,97.1
2020-11-30,07:04,97.7
2020-11-02,06:41,98.3
2020-11-02,06:41,98.1
2020-11-02,06:41,97.8
2020-11-02,06:40,98
2020-11-02,06:40,98.1
2020-10-28,07:54,97.6
2020-10-28,07:54,98
2020-10-28,07:53,98.7
2020-10-28,07:53,97.5
2020-10-26,06:43,98.2
2020-10-26,06:43,97.5
2020-10-26,06:42,98.1
2020-10-26,06:42,98.3
2020-10-20,07:53,98.8
2020-10-20,07:53,98.8
2020-10-20,07:53,99
2020-10-20,07:53,99
2020-09-26,07:38,99.7
2020-09-26,07:38,99
2020-09-26,07:38,99.1
2020-09-26,07:37,99.9
2020-09-01,07:07,97.7
2020-09-01,07:07,97.7
2020-09-01,07:07,97.5
2020-09-01,07:07,98.3
2020-08-27,08:05,97.2
2020-08-27,08:05,96.4
2020-08-27,08:05,96.4
2020-08-27,08:05,96.7
2020-08-22,08:11,98.4
2020-08-22,08:11,98.1
2020-08-22,08:11,97.6
2020-08-22,08:11,97.8
2020-08-20,08:13,97.9
2020-08-20,08:13,98.1
2020-08-20,08:13,98.4
2020-08-20,08:13,97.9
2020-08-20,08:12,97.6
2020-08-17,06:49,98.9
2020-08-17,06:49,98.8
2020-08-17,06:48,99.1
2020-08-17,06:48,98.3
2020-08-16,08:25,98.6
2020-08-16,08:25,98.7
2020-08-16,08:25,98.9
2020-08-16,08:25,98.3
2020-08-11,09:11,99.4
2020-08-11,09:11,100.2
2020-08-11,09:11,100.4
2020-08-11,09:11,99.4
2020-08-10,07:44,98.6
2020-08-10,07:44,99.2
2020-08-10,07:44,99.5
2020-08-10,07:43,99.1
2020-08-05,07:41,99.4
2020-08-05,07:41,99.8
2020-08-05,07:41,98.8
2020-08-05,07:40,98.9
2020-08-03,07:08,97.8
2020-08-03,07:07,98.5
2020-08-03,07:07,98.4
2020-08-03,07:07,98
2020-08-02,08:41,98.5
2020-08-02,08:41,98.4
2020-08-02,08:41,98.3
2020-08-02,08:41,98.6
2020-08-01,08:33,99.1
2020-08-01,08:33,98.4
2020-08-01,08:33,98.6
2020-08-01,08:33,98.9
2020-08-01,08:33,99
2020-07-30,06:36,99.6
2020-07-30,06:36,98.1
2020-07-30,06:36,98.5
2020-07-30,06:36,98.8
2020-07-29,06:06,98.2
2020-07-29,06:06,98.8
2020-07-29,06:05,98.9
2020-07-29,06:02,98.9
2020-07-29,06:02,98
2020-07-29,06:01,97.9
2020-07-29,06:01,98.3
2020-07-25,06:45,99
2020-07-25,06:45,98.9
2020-07-25,06:45,99.6
2020-07-25,06:45,99
2020-07-23,06:40,98.7
2020-07-23,06:40,99.1
2020-07-23,06:39,100.1
2020-07-23,06:39,99.1
2020-07-21,08:45,98.9
2020-07-21,08:44,98.3
2020-07-21,08:44,98.6
2020-07-21,08:44,99
2020-07-20,08:11,99.2
2020-07-20,08:11,98.1
2020-07-20,08:10,98.7
2020-07-20,08:10,99
2020-07-19,09:05,98.5
2020-07-19,09:05,98
2020-07-19,09:05,98.5
2020-07-19,09:05,98.4
2020-07-18,09:05,99.6
2020-07-18,09:05,99.1
2020-07-18,09:04,98.6
2020-07-18,09:04,98.9
2020-07-14,06:25,99.9
2020-07-14,06:25,99.6
2020-07-14,06:25,99.2
2020-07-14,06:25,99.5
2020-07-09,06:04,100
2020-07-09,06:04,99.1
2020-07-09,06:04,99.2
2020-07-09,06:04,99.7
2020-07-07,10:37,100.2
2020-07-07,10:37,99.2
2020-07-07,10:37,99.5
2020-07-07,10:37,100
2020-07-02,07:12,99.7
2020-07-02,07:12,98.8
2020-07-02,07:12,99.1
2020-07-02,07:12,99.3
2020-07-01,05:39,99.9
2020-07-01,05:39,99.5
2020-07-01,05:39,99
2020-07-01,05:39,99.1
2020-06-30,08:16,100.1
2020-06-30,08:15,99.5
2020-06-30,08:15,99.7
2020-06-30,08:15,99.9
2020-06-29,07:50,99.8
2020-06-28,08:02,99
2020-06-28,08:02,98.8
2020-06-28,08:02,99.7
2020-06-28,08:01,99.2
2020-06-27,08:04,98.6
2020-06-27,08:03,98.8
2020-06-27,08:03,99.3
2020-06-27,08:03,99.7
2020-06-23,06:34,100.2
2020-06-23,06:34,99.8
2020-06-23,06:34,99.6
2020-06-23,06:33,99.7
2020-06-08,06:27,99.2
2020-06-08,06:27,99.5
2020-06-08,06:27,99.2
2020-06-08,06:27,98.9
2020-05-24,08:39,98.7
2020-05-24,08:39,98.4
2020-05-24,08:39,99.2
2020-05-24,08:39,99.3
2020-05-23,07:38,99.5
2020-05-23,07:38,98.7
2020-05-23,07:38,98.6
2020-05-23,07:38,99
2020-05-19,07:48,99.5
2020-05-19,07:48,99.5
2020-05-19,07:48,100.2
2020-05-19,07:48,100.2
2020-05-16,08:20,100.7
2020-05-16,08:20,100.2
2020-05-16,08:20,99.9
2020-05-16,08:20,100
2020-05-13,08:24,99.8
2020-05-13,08:23,100.3
2020-05-13,08:23,100.5
2020-05-13,08:23,99.8
2020-05-12,08:11,99.3
2020-05-12,08:10,99.3
2020-05-12,08:10,100.1
2020-05-12,08:10,99.5
