dd mo yyyy hh mi weight
28 10 2019 06 34 97.9  
24 10 2019 06 24 98.7  
24 10 2019 06 24 98.5  
24 10 2019 06 24 99.4  
21 10 2019 06 45 97.1  
21 10 2019 06 45 96.7  
21 10 2019 06 45 97.1  
17 10 2019 06 55 97.5  
17 10 2019 06 55 97.6  
17 10 2019 06 54 98.2  
17 10 2019 06 54 97.4  
14 10 2019 06 25 97  
14 10 2019 06 25 96.7  
14 10 2019 06 24 97.4  
14 10 2019 06 24 97  
12 10 2019 08 14 98.2  
12 10 2019 08 14 98.2  
12 10 2019 08 13 98.8  
05 10 2019 06 34 99.5  
05 10 2019 06 34 99  
05 10 2019 06 34 99  
18 09 2019 07 16 98.8  
18 09 2019 07 15 98.2  
18 09 2019 07 15 98.7  
18 09 2019 07 13 99.2  
01 09 2019 08 12 98.1  
01 09 2019 08 12 98.4  
01 09 2019 08 11 98  
30 08 2019 06 37 98.7  
30 08 2019 06 36 99.1  
30 08 2019 06 36 99.1  
27 08 2019 06 10 99.2  
27 08 2019 06 09 98.5  
27 08 2019 06 09 99.6  
08 08 2019 06 41 99.6  
13 07 2019 08 16 99.4  
13 07 2019 08 16 98.7  
13 07 2019 08 16 99.2  
13 07 2019 08 15 98.2  
24 06 2019 05 35 98.5  
24 06 2019 05 35 99  
24 06 2019 05 35 99  
24 06 2019 05 34 98.8  
02 06 2019 07 08 98.9  
02 06 2019 07 08 98.8  
02 06 2019 07 07 99.1  
02 06 2019 07 07 99  
22 05 2019 09 49 99.3  
22 05 2019 09 49 98.7  
22 05 2019 09 49 99.3  
22 04 2019 08 55 97.6  
22 04 2019 08 55 96.9  
22 04 2019 08 55 97.9  
13 04 2019 09 03 98.9  
13 04 2019 09 02 99.2  
13 04 2019 09 02 98.2  
13 04 2019 09 02 98.9  
30 03 2019 06 45 98.2  
30 03 2019 06 44 98.4  
30 03 2019 06 44 98  
30 03 2019 06 44 99  
21 03 2019 06 32 98.3  
21 03 2019 06 32 98.8  
21 03 2019 06 31 98.5  
04 03 2019 06 30 99  
04 03 2019 06 29 98  
04 03 2019 06 29 98.4  
01 03 2019 06 17 97.9  
01 03 2019 06 17 98.4  
01 03 2019 06 17 98.4  
28 02 2019 05 55 99.6  
28 02 2019 05 55 98.6  
28 02 2019 05 55 98.8  
28 02 2019 05 54 98.5  
28 02 2019 05 54 99.4  
21 02 2019 06 40 98.8  
21 02 2019 06 40 98.2  
21 02 2019 06 40 99  
19 02 2019 06 15 98.5  
19 02 2019 06 11 98.5  
19 02 2019 06 11 98.9  
06 02 2019 06 06 97.9  
06 02 2019 06 06 97.9  
06 02 2019 06 05 98.1  
06 02 2019 06 05 99.6  
05 02 2019 06 34 98.1  
05 02 2019 06 33 99.3  
04 02 2019 06 24 98.8  
04 02 2019 06 24 98  
04 02 2019 06 23 97.7  
04 02 2019 06 23 98.7  
03 02 2019 07 52 100.9  
03 02 2019 07 52 101.6  
03 02 2019 07 52 102  
03 02 2019 07 51 101.1  
03 02 2019 07 51 99.8  
03 02 2019 07 51 98.6  
03 02 2019 07 50 98.8  
03 02 2019 07 50 99.4  
01 02 2019 05 17 97.8  
01 02 2019 05 17 98.1  
01 02 2019 05 16 98.5  
31 01 2019 05 46 98.2  
31 01 2019 05 46 98.5  
31 01 2019 05 45 98.5  
30 01 2019 06 02 97.3  
30 01 2019 06 02 98  
30 01 2019 06 01 98.2  
30 01 2019 06 01 98.1  
29 01 2019 05 38 98.2  
29 01 2019 05 38 98  
29 01 2019 05 37 97.7  
29 01 2019 05 37 98.5  
28 01 2019 06 40 97.8  
28 01 2019 06 40 98.1  
28 01 2019 06 40 97.2  
28 01 2019 06 40 98.7  
26 01 2019 07 29 97.9  
26 01 2019 07 29 97.7  
26 01 2019 07 29 98.4  
25 01 2019 04 51 97.4  
25 01 2019 04 51 98  
25 01 2019 04 51 97.7  
25 01 2019 04 50 98.4  
24 01 2019 06 30 97.7  
24 01 2019 06 30 98.1  
24 01 2019 06 29 98.4  
24 01 2019 06 29 98.6  
23 01 2019 06 26 97.3  
23 01 2019 06 26 98.1  
23 01 2019 06 26 97.4  
23 01 2019 06 26 98.6  
22 01 2019 06 27 97  
22 01 2019 06 27 97.9  
22 01 2019 06 27 97.4  
22 01 2019 06 26 98.1  
17 01 2019 06 20 99.3  
17 01 2019 06 20 99.1  
